[Subject]	
[Date]	06/02/2016
[Time]	21:19:43
[Channels]	27
[Rate]	1000.000000
[Type]	Average
[Points]	1351
[Xmin]	-100.00000
[Sweeps]	5047
[Accepted]	112
[Rejected]	4935
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[     FP2]	[     AF4]	[      F2]	[      F4]	[      F6]	[      F8]	[     FC2]	[     FC4]	[     FC6]	[     FT8]	[      C2]	[      C4]	[      C6]	[      T8]	[     CP2]	[     CP4]	[     CP6]	[     TP8]	[      P2]	[      P4]	[      P6]	[      P8]	[     PO4]	[     PO6]	[     PO8]	[      O2]	[     CB2]	
[Electrode XUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Electrode YUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Average Data]
    -0.1174	    -0.0460	    -0.2100	    -0.6642	    -0.3597	    -0.6461	    -0.3890	    -0.6431	    -0.4454	    -0.0354	    -0.1756	    -0.4057	    -0.0441	    -0.4422	     0.0896	    -0.0300	     0.1982	    -0.3641	    -0.0558	    -0.0258	     0.3021	     0.4918	     0.0837	     0.4580	     0.4685	     0.1009	     0.1907	
    -0.0518	     0.0279	    -0.1321	    -0.5978	    -0.3174	    -0.5932	    -0.3096	    -0.6107	    -0.4092	     0.0297	    -0.1470	    -0.4331	    -0.0443	    -0.3010	     0.0922	    -0.0430	     0.1708	    -0.2251	    -0.0534	    -0.0506	     0.2587	     0.4530	     0.0471	     0.4071	     0.4076	     0.0732	     0.1811	
     0.0083	     0.0915	    -0.0590	    -0.5294	    -0.2811	    -0.5389	    -0.2329	    -0.5730	    -0.3763	     0.0849	    -0.1205	    -0.4594	    -0.0537	    -0.1512	     0.0926	    -0.0568	     0.1402	    -0.0782	    -0.0516	    -0.0753	     0.2125	     0.4102	     0.0085	     0.3532	     0.3442	     0.0416	     0.1639	
     0.0631	     0.1458	     0.0094	    -0.4593	    -0.2514	    -0.4844	    -0.1590	    -0.5298	    -0.3463	     0.1306	    -0.0955	    -0.4832	    -0.0705	     0.0009	     0.0911	    -0.0714	     0.1064	     0.0695	    -0.0505	    -0.0996	     0.1641	     0.3628	    -0.0321	     0.2963	     0.2785	     0.0060	     0.1389	
     0.1137	     0.1930	     0.0740	    -0.3876	    -0.2285	    -0.4304	    -0.0876	    -0.4805	    -0.3179	     0.1679	    -0.0712	    -0.5032	    -0.0923	     0.1492	     0.0885	    -0.0865	     0.0701	     0.2110	    -0.0496	    -0.1231	     0.1141	     0.3106	    -0.0742	     0.2370	     0.2106	    -0.0331	     0.1067	
     0.1612	     0.2360	     0.1359	    -0.3140	    -0.2120	    -0.3773	    -0.0181	    -0.4249	    -0.2895	     0.1973	    -0.0467	    -0.5181	    -0.1165	     0.2880	     0.0856	    -0.1020	     0.0316	     0.3393	    -0.0484	    -0.1454	     0.0632	     0.2535	    -0.1169	     0.1761	     0.1405	    -0.0750	     0.0683	
     0.2073	     0.2776	     0.1963	    -0.2384	    -0.2015	    -0.3252	     0.0503	    -0.3627	    -0.2596	     0.2187	    -0.0211	    -0.5267	    -0.1410	     0.4122	     0.0833	    -0.1173	    -0.0082	     0.4478	    -0.0466	    -0.1659	     0.0119	     0.1918	    -0.1596	     0.1140	     0.0684	    -0.1187	     0.0251	
     0.2535	     0.3210	     0.2566	    -0.1609	    -0.1964	    -0.2747	     0.1183	    -0.2939	    -0.2268	     0.2319	     0.0063	    -0.5275	    -0.1636	     0.5171	     0.0828	    -0.1319	    -0.0489	     0.5310	    -0.0436	    -0.1843	    -0.0391	     0.1256	    -0.2013	     0.0517	    -0.0058	    -0.1633	    -0.0212	
     0.3011	     0.3687	     0.3178	    -0.0816	    -0.1961	    -0.2267	     0.1868	    -0.2184	    -0.1904	     0.2360	     0.0364	    -0.5193	    -0.1821	     0.5993	     0.0850	    -0.1448	    -0.0894	     0.5847	    -0.0388	    -0.1999	    -0.0896	     0.0553	    -0.2413	    -0.0103	    -0.0818	    -0.2077	    -0.0691	
     0.3514	     0.4228	     0.3809	    -0.0009	    -0.1998	    -0.1828	     0.2566	    -0.1364	    -0.1507	     0.2303	     0.0700	    -0.5004	    -0.1948	     0.6562	     0.0911	    -0.1547	    -0.1294	     0.6068	    -0.0317	    -0.2121	    -0.1389	    -0.0186	    -0.2785	    -0.0712	    -0.1593	    -0.2508	    -0.1172	
     0.4051	     0.4844	     0.4465	     0.0805	    -0.2066	    -0.1449	     0.3286	    -0.0481	    -0.1088	     0.2144	     0.1075	    -0.4698	    -0.2006	     0.6867	     0.1018	    -0.1604	    -0.1683	     0.5976	    -0.0218	    -0.2205	    -0.1866	    -0.0956	    -0.3123	    -0.1303	    -0.2377	    -0.2915	    -0.1639	
     0.4626	     0.5539	     0.5149	     0.1622	    -0.2151	    -0.1146	     0.4029	     0.0458	    -0.0666	     0.1885	     0.1491	    -0.4268	    -0.1991	     0.6908	     0.1178	    -0.1613	    -0.2064	     0.5593	    -0.0088	    -0.2248	    -0.2327	    -0.1752	    -0.3420	    -0.1869	    -0.3161	    -0.3290	    -0.2081	
     0.5238	     0.6302	     0.5857	     0.2431	    -0.2239	    -0.0929	     0.4794	     0.1442	    -0.0264	     0.1529	     0.1945	    -0.3720	    -0.1907	     0.6694	     0.1387	    -0.1570	    -0.2445	     0.4960	     0.0072	    -0.2253	    -0.2775	    -0.2568	    -0.3673	    -0.2408	    -0.3939	    -0.3627	    -0.2492	
     0.5883	     0.7115	     0.6580	     0.3221	    -0.2318	    -0.0806	     0.5570	     0.2452	     0.0096	     0.1079	     0.2428	    -0.3067	    -0.1765	     0.6243	     0.1638	    -0.1483	    -0.2840	     0.4128	     0.0255	    -0.2226	    -0.3216	    -0.3403	    -0.3885	    -0.2921	    -0.4705	    -0.3926	    -0.2870	
     0.6547	     0.7947	     0.7302	     0.3973	    -0.2378	    -0.0779	     0.6342	     0.3463	     0.0397	     0.0540	     0.2923	    -0.2334	    -0.1585	     0.5581	     0.1917	    -0.1366	    -0.3263	     0.3153	     0.0451	    -0.2181	    -0.3660	    -0.4254	    -0.4063	    -0.3411	    -0.5456	    -0.4191	    -0.3217	
     0.7215	     0.8761	     0.8003	     0.4667	    -0.2418	    -0.0850	     0.7086	     0.4446	     0.0625	    -0.0090	     0.3413	    -0.1551	    -0.1384	     0.4740	     0.2207	    -0.1233	    -0.3725	     0.2089	     0.0647	    -0.2129	    -0.4117	    -0.5117	    -0.4214	    -0.3885	    -0.6190	    -0.4428	    -0.3536	
     0.7865	     0.9518	     0.8661	     0.5282	    -0.2438	    -0.1019	     0.7779	     0.5368	     0.0770	    -0.0802	     0.3879	    -0.0748	    -0.1184	     0.3759	     0.2492	    -0.1101	    -0.4231	     0.0989	     0.0830	    -0.2084	    -0.4590	    -0.5983	    -0.4344	    -0.4345	    -0.6900	    -0.4641	    -0.3829	
     0.8479	     1.0182	     0.9258	     0.5796	    -0.2444	    -0.1273	     0.8400	     0.6200	     0.0829	    -0.1586	     0.4307	     0.0044	    -0.1007	     0.2683	     0.2757	    -0.0980	    -0.4776	    -0.0102	     0.0995	    -0.2050	    -0.5076	    -0.6838	    -0.4458	    -0.4788	    -0.7577	    -0.4833	    -0.4093	
     0.9042	     1.0727	     0.9781	     0.6202	    -0.2436	    -0.1587	     0.8934	     0.6916	     0.0804	    -0.2414	     0.4686	     0.0800	    -0.0869	     0.1561	     0.2997	    -0.0873	    -0.5347	    -0.1143	     0.1137	    -0.2028	    -0.5564	    -0.7664	    -0.4551	    -0.5208	    -0.8207	    -0.4996	    -0.4320	
     0.9541	     1.1138	     1.0227	     0.6500	    -0.2408	    -0.1922	     0.9375	     0.7503	     0.0712	    -0.3253	     0.5013	     0.1502	    -0.0779	     0.0440	     0.3208	    -0.0778	    -0.5920	    -0.2103	     0.1264	    -0.2010	    -0.6036	    -0.8437	    -0.4615	    -0.5592	    -0.8772	    -0.5123	    -0.4500	
     0.9970	     1.1416	     1.0604	     0.6705	    -0.2345	    -0.2228	     0.9730	     0.7960	     0.0582	    -0.4058	     0.5293	     0.2141	    -0.0737	    -0.0642	     0.3397	    -0.0683	    -0.6467	    -0.2961	     0.1385	    -0.1983	    -0.6468	    -0.9133	    -0.4638	    -0.5924	    -0.9254	    -0.5201	    -0.4623	
     1.0330	     1.1575	     1.0926	     0.6842	    -0.2226	    -0.2456	     1.0012	     0.8299	     0.0453	    -0.4789	     0.5537	     0.2716	    -0.0733	    -0.1652	     0.3576	    -0.0574	    -0.6958	    -0.3705	     0.1515	    -0.1931	    -0.6837	    -0.9732	    -0.4606	    -0.6188	    -0.9632	    -0.5217	    -0.4679	
     1.0623	     1.1638	     1.1212	     0.6944	    -0.2029	    -0.2563	     1.0243	     0.8546	     0.0368	    -0.5415	     0.5760	     0.3235	    -0.0750	    -0.2575	     0.3755	    -0.0434	    -0.7362	    -0.4336	     0.1667	    -0.1838	    -0.7121	    -1.0217	    -0.4507	    -0.6369	    -0.9893	    -0.5165	    -0.4663	
     1.0852	     1.1632	     1.1479	     0.7040	    -0.1735	    -0.2525	     1.0443	     0.8728	     0.0362	    -0.5917	     0.5975	     0.3711	    -0.0772	    -0.3411	     0.3947	    -0.0251	    -0.7657	    -0.4868	     0.1852	    -0.1692	    -0.7307	    -1.0582	    -0.4333	    -0.6461	    -1.0029	    -0.5039	    -0.4576	
     1.1022	     1.1587	     1.1739	     0.7155	    -0.1336	    -0.2335	     1.0631	     0.8878	     0.0462	    -0.6292	     0.6194	     0.4157	    -0.0788	    -0.4169	     0.4157	    -0.0013	    -0.7826	    -0.5322	     0.2073	    -0.1488	    -0.7387	    -1.0829	    -0.4086	    -0.6462	    -1.0041	    -0.4839	    -0.4418	
     1.1138	     1.1533	     1.2004	     0.7308	    -0.0830	    -0.2006	     1.0822	     0.9024	     0.0679	    -0.6545	     0.6426	     0.4592	    -0.0786	    -0.4864	     0.4390	     0.0284	    -0.7864	    -0.5722	     0.2331	    -0.1225	    -0.7364	    -1.0968	    -0.3767	    -0.6377	    -0.9936	    -0.4572	    -0.4198	
