[Subject]	
[Date]	06/02/2016
[Time]	21:19:43
[Channels]	27
[Rate]	1000.000000
[Type]	Average
[Points]	1351
[Xmin]	-100.00000
[Sweeps]	5047
[Accepted]	77
[Rejected]	4970
[Domain]	Time
[Rows]	Points
[Electrode Labels]
[     FP1]	[     AF3]	[      F7]	[      F5]	[      F3]	[      F1]	[     FT7]	[     FC5]	[     FC3]	[     FC1]	[      T7]	[      C5]	[      C3]	[      C1]	[     TP7]	[     CP5]	[     CP3]	[     CP1]	[      P7]	[      P5]	[      P3]	[      P1]	[     PO7]	[     PO5]	[     PO3]	[     CB1]	[      O1]	
[Electrode XUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Electrode YUnits]
[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	[ Default]	
[Average Data]
     1.8405	     1.6064	     1.4058	     1.7331	     1.8612	     1.6350	     1.4783	     1.6483	     2.2500	     1.8958	     1.8507	     1.9265	     2.2836	     2.5226	     1.6349	     1.7438	     2.4611	     2.3712	     0.9059	     0.8784	     1.5658	     1.5808	     0.1381	     0.0131	     0.2629	     0.0988	    -0.0365	
     1.9145	     1.6857	     1.5492	     1.8423	     1.9423	     1.7025	     1.6088	     1.7620	     2.3127	     1.9541	     1.9969	     1.9547	     2.3458	     2.5634	     1.8090	     1.7533	     2.5063	     2.4355	     0.9748	     0.9119	     1.6040	     1.6205	     0.2088	     0.0698	     0.2826	     0.1611	     0.0093	
     1.9720	     1.7537	     1.6768	     1.9369	     2.0121	     1.7597	     1.7305	     1.8622	     2.3607	     2.0002	     2.1243	     1.9743	     2.3934	     2.5870	     1.9623	     1.7494	     2.5349	     2.4850	     1.0337	     0.9341	     1.6308	     1.6489	     0.2687	     0.1192	     0.2983	     0.2041	     0.0420	
     2.0127	     1.8091	     1.7844	     2.0155	     2.0701	     1.8061	     1.8366	     1.9478	     2.3948	     2.0340	     2.2269	     1.9875	     2.4274	     2.5935	     2.0884	     1.7330	     2.5472	     2.5194	     1.0805	     0.9448	     1.6461	     1.6658	     0.3161	     0.1610	     0.3111	     0.2262	     0.0616	
     2.0368	     1.8514	     1.8691	     2.0781	     2.1165	     1.8418	     1.9214	     2.0189	     2.4163	     2.0561	     2.3000	     1.9971	     2.4496	     2.5839	     2.1830	     1.7065	     2.5444	     2.5393	     1.1146	     0.9447	     1.6512	     1.6723	     0.3510	     0.1963	     0.3226	     0.2277	     0.0692	
     2.0452	     1.8805	     1.9292	     2.1251	     2.1519	     1.8671	     1.9814	     2.0765	     2.4270	     2.0675	     2.3412	     2.0053	     2.4617	     2.5597	     2.2434	     1.6726	     2.5285	     2.5462	     1.1360	     0.9358	     1.6479	     1.6702	     0.3747	     0.2267	     0.3354	     0.2109	     0.0674	
     2.0387	     1.8970	     1.9649	     2.1575	     2.1770	     1.8826	     2.0158	     2.1218	     2.4283	     2.0694	     2.3502	     2.0135	     2.4650	     2.5229	     2.2691	     1.6344	     2.5020	     2.5418	     1.1459	     0.9204	     1.6386	     1.6618	     0.3895	     0.2546	     0.3516	     0.1791	     0.0596	
     2.0183	     1.9013	     1.9771	     2.1761	     2.1922	     1.8889	     2.0257	     2.1556	     2.4209	     2.0626	     2.3292	     2.0218	     2.4604	     2.4752	     2.2611	     1.5947	     2.4670	     2.5280	     1.1459	     0.9012	     1.6255	     1.6494	     0.3984	     0.2828	     0.3735	     0.1367	     0.0493	
     1.9851	     1.8943	     1.9683	     2.1816	     2.1980	     1.8863	     2.0142	     2.1783	     2.4051	     2.0479	     2.2820	     2.0298	     2.4476	     2.4185	     2.2219	     1.5561	     2.4257	     2.5065	     1.1380	     0.8806	     1.6110	     1.6351	     0.4047	     0.3139	     0.4029	     0.0879	     0.0401	
     1.9398	     1.8769	     1.9414	     2.1748	     2.1944	     1.8751	     1.9852	     2.1899	     2.3809	     2.0261	     2.2146	     2.0364	     2.4266	     2.3543	     2.1556	     1.5210	     2.3800	     2.4793	     1.1247	     0.8612	     1.5970	     1.6210	     0.4114	     0.3502	     0.4410	     0.0367	     0.0351	
     1.8835	     1.8501	     1.8998	     2.1563	     2.1820	     1.8560	     1.9432	     2.1900	     2.3479	     1.9981	     2.1334	     2.0407	     2.3969	     2.2846	     2.0674	     1.4917	     2.3318	     2.4482	     1.1088	     0.8454	     1.5855	     1.6089	     0.4212	     0.3939	     0.4887	    -0.0135	     0.0369	
     1.8172	     1.8152	     1.8470	     2.1271	     2.1610	     1.8295	     1.8928	     2.1785	     2.3065	     1.9645	     2.0452	     2.0418	     2.3584	     2.2110	     1.9632	     1.4700	     2.2828	     2.4151	     1.0929	     0.8354	     1.5779	     1.6004	     0.4362	     0.4469	     0.5463	    -0.0600	     0.0479	
     1.7420	     1.7732	     1.7858	     2.0881	     2.1321	     1.7963	     1.8378	     2.1548	     2.2568	     1.9263	     1.9555	     2.0391	     2.3113	     2.1353	     1.8490	     1.4570	     2.2348	     2.3815	     1.0793	     0.8332	     1.5752	     1.5965	     0.4580	     0.5106	     0.6139	    -0.1002	     0.0697	
     1.6587	     1.7251	     1.7186	     2.0401	     2.0957	     1.7571	     1.7814	     2.1192	     2.1995	     1.8841	     1.8681	     2.0318	     2.2560	     2.0592	     1.7300	     1.4532	     2.1889	     2.3484	     1.0698	     0.8401	     1.5782	     1.5981	     0.4875	     0.5858	     0.6913	    -0.1323	     0.1037	
     1.5686	     1.6716	     1.6468	     1.9836	     2.0523	     1.7123	     1.7250	     2.0714	     2.1356	     1.8387	     1.7842	     2.0196	     2.1933	     1.9839	     1.6101	     1.4580	     2.1459	     2.3167	     1.0654	     0.8570	     1.5869	     1.6052	     0.5255	     0.6727	     0.7779	    -0.1544	     0.1507	
     1.4727	     1.6134	     1.5713	     1.9192	     2.0021	     1.6626	     1.6691	     2.0119	     2.0661	     1.7902	     1.7031	     2.0023	     2.1244	     1.9108	     1.4921	     1.4703	     2.1064	     2.2868	     1.0666	     0.8841	     1.6010	     1.6177	     0.5725	     0.7714	     0.8733	    -0.1649	     0.2114	
     1.3723	     1.5509	     1.4928	     1.8473	     1.9459	     1.6089	     1.6135	     1.9412	     1.9927	     1.7395	     1.6229	     1.9802	     2.0509	     1.8411	     1.3777	     1.4886	     2.0708	     2.2588	     1.0732	     0.9213	     1.6201	     1.6353	     0.6296	     0.8818	     0.9770	    -0.1617	     0.2862	
     1.2692	     1.4854	     1.4119	     1.7688	     1.8847	     1.5523	     1.5575	     1.8607	     1.9177	     1.6873	     1.5419	     1.9540	     1.9750	     1.7759	     1.2679	     1.5111	     2.0392	     2.2328	     1.0851	     0.9685	     1.6438	     1.6574	     0.6976	     1.0035	     1.0890	    -0.1429	     0.3755	
     1.1654	     1.4183	     1.3293	     1.6857	     1.8202	     1.4945	     1.4999	     1.7727	     1.8434	     1.6349	     1.4590	     1.9244	     1.8995	     1.7166	     1.1636	     1.5362	     2.0120	     2.2089	     1.1016	     1.0247	     1.6712	     1.6834	     0.7777	     1.1359	     1.2095	    -0.1070	     0.4795	
     1.0634	     1.3515	     1.2457	     1.6008	     1.7544	     1.4376	     1.4396	     1.6805	     1.7727	     1.5835	     1.3746	     1.8925	     1.8270	     1.6642	     1.0658	     1.5624	     1.9890	     2.1867	     1.1220	     1.0889	     1.7017	     1.7125	     0.8702	     1.2779	     1.3383	    -0.0535	     0.5978	
     0.9659	     1.2872	     1.1624	     1.5178	     1.6901	     1.3840	     1.3756	     1.5878	     1.7084	     1.5350	     1.2901	     1.8597	     1.7602	     1.6196	     0.9758	     1.5886	     1.9702	     2.1659	     1.1454	     1.1598	     1.7342	     1.7435	     0.9746	     1.4278	     1.4750	     0.0170	     0.7293	
     0.8753	     1.2277	     1.0808	     1.4405	     1.6296	     1.3356	     1.3073	     1.4987	     1.6527	     1.4908	     1.2078	     1.8275	     1.7015	     1.5831	     0.8955	     1.6141	     1.9551	     2.1459	     1.1706	     1.2358	     1.7676	     1.7753	     1.0894	     1.5837	     1.6185	     0.1024	     0.8719	
     0.7942	     1.1749	     1.0027	     1.3723	     1.5753	     1.2942	     1.2349	     1.4167	     1.6072	     1.4519	     1.1298	     1.7973	     1.6522	     1.5545	     0.8268	     1.6387	     1.9430	     2.1261	     1.1964	     1.3153	     1.8005	     1.8066	     1.2123	     1.7427	     1.7673	     0.1998	     1.0228	
     0.7244	     1.1299	     0.9295	     1.3157	     1.5284	     1.2606	     1.1592	     1.3440	     1.5722	     1.4190	     1.0573	     1.7698	     1.6131	     1.5328	     0.7712	     1.6628	     1.9331	     2.1053	     1.2213	     1.3964	     1.8319	     1.8360	     1.3403	     1.9022	     1.9194	     0.3056	     1.1786	
     0.6670	     1.0938	     0.8627	     1.2720	     1.4894	     1.2352	     1.0813	     1.2819	     1.5474	     1.3920	     0.9907	     1.7448	     1.5837	     1.5166	     0.7293	     1.6865	     1.9244	     2.0826	     1.2443	     1.4775	     1.8601	     1.8621	     1.4703	     2.0596	     2.0723	     0.4163	     1.3356	
     0.6224	     1.0663	     0.8028	     1.2410	     1.4580	     1.2172	     1.0014	     1.2303	     1.5315	     1.3702	     0.9290	     1.7214	     1.5629	     1.5041	     0.7009	     1.7096	     1.9154	     2.0565	     1.2642	     1.5569	     1.8838	     1.8833	     1.5986	     2.2120	     2.2231	     0.5282	     1.4900	
     0.5899	     1.0467	     0.7498	     1.2210	     1.4327	     1.2051	     0.9196	     1.1879	     1.5220	     1.3523	     0.8702	     1.6972	     1.5486	     1.4926	     0.6843	     1.7309	     1.9044	     2.0253	     1.2797	     1.6323	     1.9009	     1.8979	     1.7218	     2.3563	     2.3682	     0.6377	     1.6377	
     0.5679	     1.0334	     0.7029	     1.2097	     1.4113	     1.1968	     0.8351	     1.1522	     1.5161	     1.3360	     0.8116	     1.6688	     1.5378	     1.4791	     0.6769	     1.7477	     1.8888	     1.9866	     1.2892	     1.7011	     1.9092	     1.9035	     1.8358	     2.4891	     2.5033	     0.7413	     1.7751	
     0.5541	     1.0237	     0.6609	     1.2035	     1.3908	     1.1891	     0.7477	     1.1202	     1.5098	     1.3186	     0.7504	     1.6319	     1.5268	     1.4599	     0.6747	     1.7562	     1.8655	     1.9378	     1.2906	     1.7598	     1.9057	     1.8974	     1.9363	     2.6067	     2.6237	     0.8354	     1.8983	
