groupid,stimu,stimu_time,resp,resp_time,rt
1,7,45081,201,45367,286
2,7,48093,202,48519,426
3,5,51106,201,51416,310
4,5,54119,201,54520,401
5,7,57132,202,57449,317
6,5,60144,202,60457,313
7,5,63160,201,63514,354
8,3,66175,202,66538,363
9,3,69189,202,69547,358
10,7,72205,202,72523,318
11,7,75220,201,75531,311
12,5,78233,201,78604,371
13,3,81247,202,81612,365
14,3,84259,201,84589,330
15,3,87276,202,87613,337
16,3,90288,201,90542,254
17,7,93301,202,93662,361
18,3,96313,201,96607,294
19,7,99329,202,99599,270
20,3,102344,201,102639,295
21,7,105356,201,105632,276
22,5,108367,202,108736,369
23,3,111378,202,111793,415
24,7,114389,201,114753,364
25,3,117405,202,117858,453
26,7,120418,202,120834,416
27,5,123436,201,124227,791
28,3,126449,202,126819,370
29,5,129461,201,129859,398
30,7,132473,201,132772,299
31,5,135484,202,135780,296
32,7,138497,201,138853,356
33,5,141508,202,141829,321
34,5,144520,201,144886,366
35,5,147533,202,147878,345
36,7,150543,202,150967,424
37,5,153554,202,154023,469
38,7,156568,201,156871,303
39,3,159580,201,159912,332
40,3,162591,202,162888,297
41,5,165603,202,165945,342
42,3,168615,201,168873,258
43,7,171627,201,171994,367
44,5,174642,201,174970,328
45,3,177658,201,178123,465
46,7,237752,201,238099,347
47,3,240865,202,241156,291
48,7,243877,201,244244,367
49,7,246988,202,247269,281
50,5,249999,202,250293,294
51,7,253111,201,253430,319
52,5,256122,202,256454,332
53,3,259234,202,259575,341
54,7,262248,201,262567,319
55,3,265360,201,265655,295
56,3,268372,201,268616,244
57,3,271484,201,271528,44
58,7,274496,202,274745,249
59,5,277607,201,277913,306
60,7,280620,202,280858,238
61,5,283728,201,284010,282
62,7,286740,202,286939,199
63,3,289799,202,290123,324
64,5,292811,202,293116,305
65,5,295846,201,296252,406
66,5,298859,201,299180,321
67,3,301883,202,302221,338
68,5,304895,202,305261,366
69,3,307913,201,308222,309
70,3,310925,202,311406,481
71,5,313941,202,314223,282
72,3,316953,201,317295,342
73,7,319967,201,320320,353
74,3,322980,201,323376,396
75,5,325993,202,326416,423
76,5,329006,202,329281,275
77,5,332020,201,332305,285
78,7,335032,202,335394,362
79,5,338048,201,338450,402
80,3,341061,202,341395,334
81,7,344073,201,344355,282
82,7,347090,202,347428,338
83,3,350102,201,350452,350
84,7,353115,202,353492,377
85,7,356127,201,356517,390
86,3,359140,202,359445,305
87,5,362157,202,362422,265
88,5,365172,201,365574,402
89,3,368185,201,368471,286
90,7,371198,201,371479,281
91,5,412316,201,412669,353
92,7,415328,202,415646,318
93,3,418440,201,418750,310
94,3,421452,202,421759,307
95,3,424564,202,424895,331
96,3,427576,201,427839,263
97,7,430688,202,430992,304
98,3,433700,201,433984,284
99,7,436812,201,437073,261
100,5,439824,201,440161,337
101,5,442936,202,443234,298
102,3,445948,202,446354,406
103,5,449060,201,449523,463
104,7,452073,202,452483,410
105,5,455185,201,455475,290
106,7,458198,202,458468,270
107,5,461307,201,461604,297
108,3,464319,201,464677,358
109,3,467380,202,467797,417
110,5,470394,202,470726,332
111,7,473430,201,473766,336
112,5,476442,202,476727,285
113,3,479466,202,479751,285
114,3,482478,202,482792,314
115,3,485496,201,485848,352
116,5,488508,201,488824,316
117,7,491524,201,491865,341
118,7,494536,201,494857,321
119,3,497550,202,497866,316
120,3,500562,202,500906,344
121,3,503575,201,504075,500
122,5,506587,202,506923,336
123,7,509600,201,509996,396
124,7,512616,202,513068,452
125,5,515627,202,515932,305
126,7,518641,201,518957,316
127,7,521652,201,521997,345
128,5,524665,201,524958,293
129,5,527676,201,528046,370
130,5,530689,201,530975,286
131,7,533700,202,534127,427
132,7,536713,202,537056,343
133,3,539725,201,540064,339
134,5,542737,202,543136,399
135,7,545749,201,546049,300
