[Subject]	
[Date]	05/30/2016
[Time]	17:35:24
[Channels]	27
[Rate]	1000.000000
[Type]	Average
[Points]	1351
[Xmin]	-100.00000
[Sweeps]	5047
[Accepted]	114
[Rejected]	4933
[Domain]	Time
[Rows]	Points																									
[Electrode Labels]																											
[FP2]	        [AF4]	        [F2]	        [F4]	        [F6]	        [F8]	        [FC2]	        [FC4]	        [FC6]	        [FT8]	        [C2]	        [C4]	        [C6]	        [T8]	        [CP2]	        [CP4]	        [CP6]	        [TP8]	        [P2]	        [P4]	        [P6]	        [P8]	        [PO4]	        [PO6]	        [PO8]	        [O2]	        [CB2]	
[Electrode XUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Electrode YUnits]																											
[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	[Default]	
[Average Data]
0.62495 	0.46920 	0.25490 	0.61780 	0.68410 	0.80775 	0.43415 	0.47240 	0.62950 	0.87670 	0.57765 	0.75435 	0.52085 	0.84610 	0.61070 	0.75830 	0.79835 	0.67900 	0.59310 	0.58765 	0.59510 	0.74985 	0.19605 	0.32410 	0.46235 	-0.03970 	0.00075 
0.60750 	0.41775 	0.25280 	0.60695 	0.67530 	0.75460 	0.44130 	0.47125 	0.64310 	0.84880 	0.59260 	0.72990 	0.51015 	0.82060 	0.65135 	0.78045 	0.79120 	0.69060 	0.64370 	0.63945 	0.62140 	0.75055 	0.23775 	0.35575 	0.46805 	-0.00775 	0.04475 
0.58225 	0.35740 	0.24345 	0.58745 	0.66100 	0.69260 	0.43995 	0.46215 	0.64855 	0.80435 	0.59880 	0.69795 	0.49570 	0.78120 	0.68235 	0.79280 	0.77320 	0.69440 	0.68410 	0.68060 	0.63620 	0.73715 	0.26850 	0.37475 	0.45900 	0.01355 	0.07825 
0.55150 	0.29440 	0.22905 	0.56110 	0.64185 	0.62440 	0.43185 	0.44670 	0.64530 	0.74455 	0.59770 	0.66055 	0.47765 	0.73080 	0.70445 	0.79620 	0.74595 	0.69265 	0.71470 	0.71160 	0.64010 	0.71070 	0.28870 	0.38135 	0.43575 	0.02435 	0.10070 
0.51775 	0.23480 	0.21205 	0.52985 	0.61845 	0.55320 	0.41900 	0.42660 	0.63345 	0.67195 	0.59080 	0.61965 	0.45615 	0.67255 	0.71865 	0.79195 	0.71075 	0.68670 	0.73630 	0.73325 	0.63410 	0.67245 	0.29925 	0.37640 	0.39950 	0.02525 	0.11205 
0.48325 	0.18400 	0.19455 	0.49560 	0.59140 	0.48210 	0.40330 	0.40370 	0.61345 	0.59045 	0.57975 	0.57705 	0.43165 	0.60960 	0.72615 	0.78085 	0.66905 	0.67705 	0.74945 	0.74635 	0.61910 	0.62400 	0.30130 	0.36115 	0.35190 	0.01760 	0.11315 
0.44975 	0.14585 	0.17840 	0.45995 	0.56075 	0.41365 	0.38630 	0.37965 	0.58555 	0.50470 	0.56585 	0.53400 	0.40485 	0.54410 	0.72780 	0.76365 	0.62215 	0.66330 	0.75485 	0.75170 	0.59600 	0.56720 	0.29625 	0.33700 	0.29520 	0.00295 	0.10540 
0.41825 	0.12285 	0.16480 	0.42400 	0.52650 	0.34955 	0.36935 	0.35575 	0.55010 	0.41945 	0.55030 	0.49195 	0.37710 	0.47735 	0.72450 	0.74115 	0.57135 	0.64420 	0.75315 	0.75010 	0.56580 	0.50415 	0.28540 	0.30580 	0.23185 	-0.01685 	0.09055 
0.38935 	0.11565 	0.15470 	0.38865 	0.48830 	0.29020 	0.35335 	0.33310 	0.50745 	0.33885 	0.53410 	0.45185 	0.34980 	0.40980 	0.71715 	0.71405 	0.51805 	0.61810 	0.74525 	0.74260 	0.52965 	0.43700 	0.27035 	0.26930 	0.16460 	-0.03970 	0.07075 
0.36315 	0.12355 	0.14860 	0.35450 	0.44610 	0.23525 	0.33920 	0.31240 	0.45800 	0.26585 	0.51815 	0.41470 	0.32455 	0.34125 	0.70665 	0.68335 	0.46350 	0.58380 	0.73195 	0.73010 	0.48890 	0.36775 	0.25250 	0.22950 	0.09615 	-0.06355 	0.04825 
0.33945 	0.14425 	0.14650 	0.32205 	0.40040 	0.18390 	0.32725 	0.29425 	0.40295 	0.20155 	0.50310 	0.38110 	0.30250 	0.27150 	0.69390 	0.64980 	0.40880 	0.54040 	0.71440 	0.71350 	0.44460 	0.29835 	0.23335 	0.18830 	0.02900 	-0.08655 	0.02515 
0.31775 	0.17445 	0.14830 	0.29165 	0.35180 	0.13520 	0.31795 	0.27885 	0.34410 	0.14555 	0.48940 	0.35140 	0.28465 	0.20075 	0.67950 	0.61430 	0.35465 	0.48810 	0.69350 	0.69380 	0.39790 	0.23005 	0.21385 	0.14735 	-0.03470 	-0.10710 	0.00315 
0.29720 	0.20985 	0.15330 	0.26355 	0.30165 	0.08855 	0.31125 	0.26605 	0.28390 	0.09605 	0.47725 	0.32565 	0.27100 	0.12990 	0.66410 	0.57760 	0.30150 	0.42765 	0.67015 	0.67155 	0.34970 	0.16380 	0.19485 	0.10770 	-0.09345 	-0.12405 	-0.01655 
0.27670 	0.24575 	0.16065 	0.23765 	0.25140 	0.04350 	0.30690 	0.25575 	0.22525 	0.05065 	0.46655 	0.30330 	0.26120 	0.06060 	0.64785 	0.54015 	0.24965 	0.36080 	0.64500 	0.64730 	0.30055 	0.09990 	0.17655 	0.07025 	-0.14635 	-0.13695 	-0.03315 
0.25540 	0.27740 	0.16930 	0.21405 	0.20265 	-0.00015 	0.30435 	0.24740 	0.17115 	0.00710 	0.45705 	0.28375 	0.25405 	-0.00530 	0.63080 	0.50230 	0.19915 	0.28940 	0.61860 	0.62150 	0.25105 	0.03865 	0.15915 	0.03545 	-0.19295 	-0.14535 	-0.04630 
0.23225 	0.30070 	0.17835 	0.19265 	0.15710 	-0.04245 	0.30310 	0.24070 	0.12420 	-0.03615 	0.44835 	0.26600 	0.24800 	-0.06590 	0.61290 	0.46430 	0.15030 	0.21555 	0.59150 	0.59445 	0.20175 	-0.01985 	0.14255 	0.00370 	-0.23290 	-0.14915 	-0.05570 
0.20680 	0.31245 	0.18695 	0.17350 	0.11630 	-0.08385 	0.30285 	0.23555 	0.08650 	-0.07960 	0.44020 	0.24935 	0.24145 	-0.12030 	0.59445 	0.42655 	0.10365 	0.14130 	0.56425 	0.56665 	0.15335 	-0.07520 	0.12705 	-0.02445 	-0.26605 	-0.14815 	-0.06085 
0.17900 	0.31100 	0.19475 	0.15690 	0.08175 	-0.12475 	0.30340 	0.23200 	0.05910 	-0.12330 	0.43265 	0.23345 	0.23330 	-0.16820 	0.57565 	0.38960 	0.05965 	0.06835 	0.53755 	0.53890 	0.10690 	-0.12670 	0.11315 	-0.04845 	-0.29220 	-0.14185 	-0.06130 
0.14900 	0.29640 	0.20180 	0.14315 	0.05450 	-0.16600 	0.30510 	0.23035 	0.04245 	-0.16710 	0.42610 	0.21840 	0.22310 	-0.21040 	0.55715 	0.35425 	0.01935 	-0.00175 	0.51250 	0.51210 	0.06360 	-0.17355 	0.10135 	-0.06745 	-0.31110 	-0.12990 	-0.05635 
0.11765 	0.26990 	0.20855 	0.13285 	0.03515 	-0.20815 	0.30835 	0.23120 	0.03635 	-0.21100 	0.42105 	0.20450 	0.21115 	-0.24820 	0.53980 	0.32145 	-0.01635 	-0.06790 	0.48990 	0.48710 	0.02470 	-0.21510 	0.09245 	-0.08075 	-0.32265 	-0.11185 	-0.04560 
0.08610 	0.23455 	0.21590 	0.12650 	0.02390 	-0.25165 	0.31390 	0.23500 	0.03995 	-0.25480 	0.41825 	0.19235 	0.19860 	-0.28280 	0.52435 	0.29205 	-0.04655 	-0.12945 	0.47085 	0.46495 	-0.00860 	-0.25075 	0.08705 	-0.08775 	-0.32680 	-0.08770 	-0.02900 
0.05550 	0.19405 	0.22470 	0.12460 	0.02060 	-0.29600 	0.32240 	0.24195 	0.05195 	-0.29815 	0.41830 	0.18235 	0.18655 	-0.31530 	0.51160 	0.26680 	-0.07060 	-0.18620 	0.45590 	0.44640 	-0.03530 	-0.28045 	0.08580 	-0.08815 	-0.32385 	-0.05770 	-0.00690 
0.02750 	0.15320 	0.23620 	0.12750 	0.02475 	-0.34035 	0.33445 	0.25205 	0.07100 	-0.33985 	0.42170 	0.17480 	0.17595 	-0.34620 	0.50190 	0.24615 	-0.08815 	-0.23805 	0.44555 	0.43175 	-0.05510 	-0.30420 	0.08890 	-0.08200 	-0.31435 	-0.02275 	0.01975 
0.00340 	0.11700 	0.25140 	0.13560 	0.03545 	-0.38310 	0.35055 	0.26505 	0.09540 	-0.37860 	0.42870 	0.16975 	0.16720 	-0.37545 	0.49565 	0.23015 	-0.09925 	-0.28485 	0.43990 	0.42120 	-0.06795 	-0.32220 	0.09660 	-0.06985 	-0.29905 	0.01600 	0.04960 
-0.01525 	0.09000 	0.27140 	0.14890 	0.05185 	-0.42255 	0.37130 	0.28070 	0.12360 	-0.41275 	0.43950 	0.16740 	0.16000 	-0.40250 	0.49290 	0.21860 	-0.10395 	-0.32645 	0.43875 	0.41470 	-0.07395 	-0.33485 	0.10875 	-0.05235 	-0.27905 	0.05725 	0.08105 
-0.02740 	0.07645 	0.29710 	0.16755 	0.07280 	-0.45695 	0.39685 	0.29855 	0.15385 	-0.44115 	0.45425 	0.16770 	0.15355 	-0.42655 	0.49380 	0.21155 	-0.10260 	-0.36220 	0.44175 	0.41185 	-0.07370 	-0.34230 	0.12520 	-0.03035 	-0.25535 	0.09965 	0.11255 
-0.03220 	0.07920 	0.32900 	0.19130 	0.09710 	-0.48485 	0.42715 	0.31825 	0.18425 	-0.46255 	0.47270 	0.17080 	0.14660 	-0.44650 	0.49810 	0.20865 	-0.09545 	-0.39140 	0.44855 	0.41235 	-0.06755 	-0.34520 	0.14555 	-0.00495 	-0.22920 	0.14170 	0.14250 
-0.02940 	0.09950 	0.36685 	0.21940 	0.12305 	-0.50510 	0.46170 	0.33915 	0.21300 	-0.47620 	0.49445 	0.17665 	0.13760 	-0.46150 	0.50550 	0.20965 	-0.08315 	-0.41350 	0.45815 	0.41555 	-0.05650 	-0.34405 	0.16895 	0.02270 	-0.20185 	0.18230 	0.16980 
-0.01920 	0.13680 	0.40985 	0.25055 	0.14855 	-0.51705 	0.49945 	0.36020 	0.23810 	-0.48130 	0.51850 	0.18450 	0.12485 	-0.47075 	0.51510 	0.21380 	-0.06670 	-0.42780 	0.46955 	0.42040 	-0.04160 	-0.33985 	0.19455 	0.05110 	-0.17455 	0.22010 	0.19335 
-0.00270 	0.18860 	0.45625 	0.28260 	0.17080 	-0.52050 	0.53850 	0.37965 	0.25735 	-0.47750 	0.54335 	0.19315 	0.10655 	-0.47365 	0.52560 	0.21980 	-0.04765 	-0.43385 	0.48125 	0.42555 	-0.02440 	-0.33360 	0.22100 	0.07895 	-0.14855 	0.25425 	0.21240 
0.01875 	0.25070 	0.50365 	0.31310 	0.18700 	-0.51575 	0.57675 	0.39550 	0.26875 	-0.46480 	0.56715 	0.20080 	0.08125 	-0.46960 	0.53545 	0.22620 	-0.02820 	-0.43110 	0.49150 	0.42950 	-0.00655 	-0.32620 	0.24675 	0.10475 	-0.12505 	0.28380 	0.22675 
0.04340 	0.31815 	0.54940 	0.33950 	0.19465 	-0.50295 	0.61180 	0.40580 	0.27055 	-0.44400 	0.58800 	0.20555 	0.04820 	-0.45810 	0.54295 	0.23105 	-0.01045 	-0.41925 	0.49860 	0.43045 	0.01020 	-0.31835 	0.27045 	0.12740 	-0.10485 	0.30835 	0.23620 
0.06940 	0.38505 	0.59085 	0.35940 	0.19200 	-0.48225 	0.64145 	0.40885 	0.26170 	-0.41640 	0.60395 	0.20550 	0.00730 	-0.43870 	0.54630 	0.23230 	0.00320 	-0.39830 	0.50080 	0.42690 	0.02400 	-0.31075 	0.29080 	0.14585 	-0.08850 	0.32760 	0.24090 
0.09485 	0.44570 	0.62555 	0.37105 	0.17815 	-0.45370 	0.66360 	0.40355 	0.24210 	-0.38375 	0.61320 	0.19905 	-0.04060 	-0.41140 	0.54400 	0.22820 	0.01080 	-0.36870 	0.49675 	0.41720 	0.03340 	-0.30370 	0.30655 	0.15940 	-0.07615 	0.34170 	0.24150 
