VISCPT......= Version 3.00				
id..........= -----				
operator....= -----				
doctor......= -----				
referral....= -----				
institution.= -----				
subject.....= -----				
name........= OutMan				
age.........= 0				
sex.........= 0				
hand........= 0				
medications.= -----				
class.......= -----				
state.......= -----				
label.......= -----				
date........= 05/12/17				
time........= 20:27:34				
eduction....= -----				
occupation..= -----				
programmer..= ChunHui_Sun				
Trial   Resp    Type    Correct     Latency				
-----   ----    ----    -------   -----------				
195	1	202	-1	800
196	1	5	0	800
197	1	202	-1	800
198	1	7	0	800
199	1	202	-1	800
200	1	7	0	800
201	1	202	-1	800
202	1	7	0	800
203	1	202	-1	800
204	1	5	0	800
205	1	202	-1	800
206	1	7	1	800
207	1	201	-1	800
208	1	7	0	800
209	1	202	-1	800
210	1	3	0	800
211	1	202	-1	800
212	1	3	0	800
213	1	202	-1	800
214	1	3	0	800
215	1	202	-1	800
216	1	5	0	800
217	1	202	-1	800
218	1	3	0	800
219	1	202	-1	800
220	1	5	0	800
221	1	202	-1	800
222	1	7	1	800
223	1	201	-1	800
224	1	5	1	800
225	1	201	-1	800
226	1	3	1	800
227	1	201	-1	800
228	1	7	1	800
229	1	201	-1	800
230	1	5	0	800
231	1	202	-1	800
232	1	3	0	800
233	1	202	-1	800
234	1	7	0	800
235	1	202	-1	800
236	1	3	0	800
237	1	202	-1	800
238	1	5	0	800
239	1	202	-1	800
240	1	3	0	800
241	1	202	-1	800
242	1	3	0	800
243	1	202	-1	800
244	1	5	0	800
245	1	202	-1	800
246	1	5	0	800
247	1	202	-1	800
248	1	7	1	800
249	1	201	-1	800
250	1	7	1	800
251	1	201	-1	800
252	1	3	0	800
253	1	202	-1	800
254	1	3	0	800
255	1	202	-1	800
256	1	5	0	800
257	1	202	-1	800
258	1	7	1	800
259	1	201	-1	800
260	1	7	1	800
261	1	201	-1	800
262	1	3	0	800
263	1	202	-1	800
264	1	3	0	800
265	1	202	-1	800
266	1	3	0	800
267	1	202	-1	800
268	1	7	1	800
269	1	201	-1	800
270	1	7	1	800
271	1	201	-1	800
272	1	3	0	800
273	1	202	-1	800
274	1	5	1	800
275	1	201	-1	800
276	1	7	1	800
277	1	201	-1	800
278	1	203	-1	800
279	1	5	1	800
280	1	201	-1	800
281	1	7	1	800
282	1	201	-1	800
283	1	7	1	800
284	1	201	-1	800
285	1	7	1	800
286	1	201	-1	800
287	1	7	0	800
288	1	202	-1	800
289	1	5	0	800
290	1	202	-1	800
291	1	3	0	800
292	1	202	-1	800
293	1	5	0	800
294	1	202	-1	800
295	1	3	0	800
296	1	202	-1	800
297	1	5	0	800
298	1	202	-1	800
299	1	5	0	800
300	1	202	-1	800
301	1	5	1	800
302	1	201	-1	800
303	1	5	0	800
304	1	202	-1	800
305	1	3	0	800
306	1	202	-1	800
307	1	5	1	800
308	1	201	-1	800
309	1	7	1	800
310	1	201	-1	800
311	1	3	1	800
312	1	201	-1	800
313	1	7	1	800
314	1	201	-1	800
315	1	7	1	800
316	1	201	-1	800
317	1	5	0	800
318	1	202	-1	800
319	1	3	0	800
320	1	202	-1	800
321	1	5	0	800
322	1	202	-1	800
323	1	7	1	800
324	1	201	-1	800
325	1	3	0	800
326	1	202	-1	800
327	1	5	0	800
328	1	202	-1	800
329	1	3	0	800
330	1	202	-1	800
331	1	3	0	800
332	1	202	-1	800
333	1	3	0	800
334	1	202	-1	800
335	1	3	1	800
336	1	201	-1	800
337	1	3	0	800
338	1	202	-1	800
339	1	5	1	800
340	1	201	-1	800
341	1	7	1	800
342	1	201	-1	800
343	1	7	1	800
344	1	201	-1	800
345	1	3	0	800
346	1	202	-1	800
347	1	3	0	800
348	1	202	-1	800
349	1	5	0	800
350	1	202	-1	800
351	1	5	0	800
352	1	202	-1	800
353	1	7	1	800
354	1	201	-1	800
355	1	7	1	800
356	1	201	-1	800
357	1	7	0	800
358	1	202	-1	800
359	1	3	0	800
360	1	202	-1	800
361	1	3	0	800
362	1	202	-1	800
363	1	7	1	800
364	1	201	-1	800
365	1	7	1	800
366	1	201	-1	800
367	1	5	0	800
368	1	202	-1	800
369	1	203	-1	800
370	1	5	1	800
371	1	201	-1	800
372	1	3	1	800
373	1	201	-1	800
374	1	3	0	800
375	1	202	-1	800
376	1	5	0	800
377	1	202	-1	800
378	1	3	0	800
379	1	202	-1	800
380	1	7	1	800
381	1	201	-1	800
382	1	5	0	800
383	1	202	-1	800
384	1	5	0	800
385	1	202	-1	800
386	1	7	0	800
387	1	202	-1	800
388	1	3	0	800
389	1	202	-1	800
390	1	5	1	800
391	1	201	-1	800
392	1	5	0	800
393	1	202	-1	800
394	1	7	1	800
395	1	201	-1	800
396	1	5	0	800
397	1	202	-1	800
398	1	3	0	800
399	1	202	-1	800
400	1	7	1	800
401	1	201	-1	800
402	1	7	1	800
403	1	201	-1	800
404	1	3	0	800
405	1	202	-1	800
406	1	3	0	800
407	1	202	-1	800
408	1	3	0	800
409	1	202	-1	800
410	1	7	1	800
411	1	201	-1	800
412	1	3	0	800
413	1	202	-1	800
414	1	5	0	800
415	1	202	-1	800
416	1	7	1	800
417	1	201	-1	800
418	1	5	0	800
419	1	202	-1	800
420	1	5	0	800
421	1	202	-1	800
422	1	7	1	800
423	1	201	-1	800
424	1	7	1	800
425	1	201	-1	800
426	1	3	0	800
427	1	202	-1	800
428	1	5	0	800
429	1	202	-1	800
430	1	7	1	800
431	1	201	-1	800
432	1	5	0	800
433	1	202	-1	800
434	1	3	0	800
435	1	202	-1	800
436	1	7	1	800
437	1	201	-1	800
438	1	5	1	800
439	1	201	-1	800
440	1	3	0	800
441	1	202	-1	800
442	1	3	0	800
443	1	202	-1	800
444	1	5	0	800
445	1	202	-1	800
446	1	7	1	800
447	1	201	-1	800
448	1	7	1	800
449	1	201	-1	800
450	1	5	0	800
451	1	202	-1	800
452	1	7	0	800
453	1	202	-1	800
454	1	7	0	800
455	1	202	-1	800
456	1	3	0	800
457	1	202	-1	800
458	1	3	0	800
459	1	202	-1	800
460	1	203	-1	800
461	1	5	0	800
462	1	202	-1	800
463	1	3	0	800
464	1	202	-1	800
465	1	5	1	800
466	1	201	-1	800
467	1	5	0	800
468	1	202	-1	800
469	1	3	0	800
470	1	202	-1	800
471	1	5	0	800
472	1	202	-1	800
473	1	5	1	800
474	1	201	-1	800
475	1	7	1	800
476	1	201	-1	800
477	1	7	1	800
478	1	201	-1	800
479	1	7	0	800
480	1	202	-1	800
481	1	7	1	800
482	1	201	-1	800
483	1	5	1	800
484	1	201	-1	800
485	1	5	0	800
486	1	202	-1	800
487	1	7	1	800
488	1	201	-1	800
489	1	5	0	800
490	1	202	-1	800
491	1	3	0	800
492	1	202	-1	800
493	1	7	1	800
494	1	201	-1	800
495	1	7	1	800
496	1	201	-1	800
497	1	7	1	800
498	1	201	-1	800
499	1	5	0	800
500	1	202	-1	800
501	1	7	1	800
502	1	201	-1	800
503	1	5	0	800
504	1	202	-1	800
505	1	5	0	800
506	1	202	-1	800
507	1	3	0	800
508	1	202	-1	800
509	1	3	0	800
510	1	202	-1	800
511	1	3	0	800
512	1	202	-1	800
513	1	7	0	800
514	1	202	-1	800
515	1	3	0	800
516	1	202	-1	800
517	1	3	0	800
518	1	202	-1	800
519	1	3	0	800
520	1	202	-1	800
521	1	7	1	800
522	1	201	-1	800
523	1	5	0	800
524	1	202	-1	800
525	1	3	0	800
526	1	202	-1	800
527	1	7	0	800
528	1	202	-1	800
529	1	7	1	800
530	1	201	-1	800
531	1	7	1	800
532	1	201	-1	800
533	1	3	0	800
534	1	202	-1	800
535	1	3	0	800
536	1	202	-1	800
537	1	5	0	800
538	1	202	-1	800
539	1	3	0	800
