groupid,stimu,stimu_time,resp,resp_time,rt
1,3,28765,202,29374,609
2,5,31206,202,31775,569
3,7,33407,201,33951,544
4,3,35723,202,36319,596
5,5,38023,201,38624,601
6,7,40273,201,41008,735
7,7,42865,202,43712,847
8,7,45265,201,46177,912
9,3,47599,202,48401,802
10,5,50149,201,50850,701
11,7,52474,201,53154,680
12,3,54891,202,55874,983
13,7,57141,201,57891,750
14,7,59382,202,60099,717
15,7,61807,201,62467,660
16,5,64182,202,64788,606
17,7,66666,201,67252,586
18,7,69016,201,69604,588
19,3,71266,202,71829,563
20,5,73841,201,74517,676
21,5,76166,201,76773,607
22,5,78675,201,79350,675
23,5,81083,201,81814,731
24,3,83633,202,84310,677
25,5,86066,202,86711,645
26,3,88508,202,89047,539
27,3,91083,202,91608,525
28,5,93633,202,94072,439
29,5,95892,202,96792,900
30,5,98142,201,98761,619
31,3,100400,202,101017,617
32,3,102725,201,103561,836
33,3,105200,202,105866,666
34,7,107684,201,108410,726
35,7,110084,201,110618,534
36,7,112517,201,113115,598
37,5,114851,202,115803,952
38,5,117067,201,117899,832
39,3,119667,202,120444,777
40,3,122076,202,122796,720
41,7,124509,201,125148,639
42,7,126934,202,127677,743
43,3,129476,202,130061,585
44,5,131801,201,132398,597
45,3,134318,202,134878,560
46,7,184619,201,185317,698
47,3,187153,202,187638,485
48,7,189753,201,190374,621
49,5,192044,202,192710,666
50,3,194253,202,194855,602
51,3,196803,202,197399,596
52,5,199203,201,199864,661
53,7,201686,201,202328,642
54,5,204028,202,204632,604
55,5,206486,202,207321,835
56,7,208970,201,209801,831
57,3,211512,202,212089,577
58,7,213962,201,214586,624
59,7,216312,201,216794,482
60,3,218578,202,219210,632
61,3,220837,202,221419,582
62,5,223195,202,223835,640
63,3,225570,202,226139,569
64,5,228129,202,228780,651
65,7,230462,201,231116,654
66,3,232721,202,233581,860
67,5,235021,202,235565,544
68,5,237537,202,238317,780
69,5,239746,202,240254,508
70,7,241987,201,242718,731
71,7,244304,201,244974,670
72,3,246796,202,247487,691
73,5,249196,202,249727,531
74,7,251671,201,252287,616
75,7,254238,201,254864,626
76,3,256513,202,257152,639
77,7,259030,201,259648,618
78,7,261538,202,262145,607
79,3,263796,202,264417,621
80,5,266163,202,266881,718
81,3,268455,202,268962,507
82,7,270772,201,271394,622
83,5,273105,201,273874,769
84,3,275438,202,276035,597
85,5,277855,201,278547,692
86,7,280205,201,280723,518
87,3,282589,202,283364,775
88,3,284905,202,285476,571
89,5,287339,202,287989,650
90,5,289605,202,290277,672
91,5,347332,201,348141,809
92,5,349565,201,350142,577
93,5,352132,202,352622,490
94,5,354407,202,354910,503
95,5,356941,202,357471,530
96,7,359174,202,359775,601
97,7,361641,202,362528,887
98,7,363924,202,364816,892
99,5,366224,202,366880,656
100,7,368516,201,369057,541
101,7,370774,202,371377,603
102,3,373158,202,373729,571
103,3,375750,202,376418,668
104,3,378316,202,378882,566
105,5,380708,202,381250,542
106,3,383208,202,383795,587
107,5,385716,202,386227,511
108,7,388225,201,388755,530
109,5,390725,201,391268,543
110,3,393200,201,393892,692
111,7,395717,201,396309,592
112,5,398208,202,398837,629
113,3,400759,202,401381,622
114,7,403050,202,403558,508
115,3,405625,202,406182,557
116,5,407942,202,408886,944
117,3,410517,202,411127,610
118,3,412742,202,413287,545
119,5,415301,202,415847,546
120,5,417826,202,418328,502
121,7,420267,201,420712,445
122,7,422867,201,423401,534
123,3,425451,202,426233,782
124,3,428043,202,428665,622
125,5,430426,202,431050,624
126,7,432709,201,433370,661
127,7,434968,201,435610,642
128,3,437443,202,438139,696
129,3,439751,202,440331,580
130,3,442260,202,442827,567
131,7,444801,201,445500,699
132,7,447168,201,447756,588
133,3,449677,202,450253,576
134,5,451943,201,452621,678
135,7,454535,201,455117,582
136,5,500095,201,500772,677
137,7,502511,201,503012,501
138,7,504945,201,505445,500
139,7,507212,201,507765,553
140,7,509762,202,510645,883
141,5,512003,202,512454,451
142,3,514603,202,515142,539
143,5,517195,202,518071,876
144,3,519579,202,520151,572
145,5,521937,202,522455,518
146,5,524212,202,524888,676
147,5,526712,201,527272,560
148,5,529162,202,530248,1086
149,3,531471,202,532089,618
150,5,533687,201,534233,546
151,7,536237,201,536857,620
152,3,538737,201,539562,825
153,7,541129,201,541642,513
154,7,543721,201,544298,577
155,5,545963,202,546507,544
