trial,respond,type,correct,latancy
303,1,202,-1,800
304,1,7,1,800
305,1,201,-1,800
306,1,5,1,800
307,1,201,-1,800
308,1,5,0,800
309,1,202,-1,800
310,1,3,1,800
311,1,201,-1,800
312,1,3,1,800
313,1,201,-1,800
314,1,3,1,800
315,1,201,-1,800
316,1,5,1,800
317,1,201,-1,800
318,1,5,1,800
319,1,201,-1,800
320,1,203,-1,800
321,1,5,1,800
322,1,201,-1,800
323,1,5,1,800
324,1,201,-1,800
325,1,3,0,800
326,1,202,-1,800
327,1,7,1,800
328,1,201,-1,800
329,1,3,0,800
330,1,202,-1,800
331,1,5,1,800
332,1,201,-1,800
333,1,3,1,800
334,1,201,-1,800
335,1,7,1,800
336,1,201,-1,800
337,1,3,0,800
338,1,202,-1,800
339,1,7,1,800
340,1,201,-1,800
341,1,3,1,800
342,1,201,-1,800
343,1,7,1,800
344,1,201,-1,800
345,1,5,1,800
346,1,201,-1,800
347,1,3,1,800
348,1,201,-1,800
349,1,7,1,800
350,1,201,-1,800
351,1,3,1,800
352,1,201,-1,800
353,1,7,0,800
354,1,202,-1,800
355,1,5,0,800
356,1,202,-1,800
357,1,5,1,800
358,1,201,-1,800
359,1,5,1,800
360,1,201,-1,800
361,1,5,1,800
362,1,201,-1,800
363,1,3,0,800
364,1,202,-1,800
365,1,5,1,800
366,1,201,-1,800
367,1,5,1,800
368,1,201,-1,800
369,1,3,1,800
370,1,201,-1,800
371,1,3,0,800
372,1,202,-1,800
373,1,3,1,800
374,1,201,-1,800
375,1,5,0,800
376,1,202,-1,800
377,1,5,1,800
378,1,201,-1,800
379,1,7,1,800
380,1,201,-1,800
381,1,3,0,800
382,1,202,-1,800
383,1,7,1,800
384,1,201,-1,800
385,1,5,0,800
386,1,202,-1,800
387,1,203,-1,800
388,1,3,1,800
389,1,201,-1,800
390,1,3,0,800
391,1,202,-1,800
392,1,5,1,800
393,1,201,-1,800
394,1,3,1,800
395,1,201,-1,800
396,1,3,1,800
397,1,201,-1,800
398,1,5,0,800
399,1,202,-1,800
400,1,7,1,800
401,1,201,-1,800
402,1,7,1,800
403,1,201,-1,800
404,1,7,0,800
405,1,202,-1,800
406,1,3,1,800
407,1,201,-1,800
408,1,5,1,800
409,1,201,-1,800
410,1,3,1,800
411,1,201,-1,800
412,1,3,0,800
413,1,202,-1,800
414,1,7,1,800
415,1,201,-1,800
416,1,3,1,800
417,1,201,-1,800
418,1,7,1,800
419,1,201,-1,800
420,1,7,1,800
421,1,201,-1,800
422,1,3,1,800
423,1,201,-1,800
424,1,7,1,800
425,1,201,-1,800
426,1,7,1,800
427,1,201,-1,800
428,1,7,0,800
429,1,202,-1,800
430,1,5,0,800
431,1,202,-1,800
432,1,7,1,800
433,1,201,-1,800
434,1,5,1,800
435,1,201,-1,800
436,1,5,1,800
437,1,201,-1,800
438,1,7,0,800
439,1,202,-1,800
440,1,5,1,800
441,1,201,-1,800
442,1,5,1,800
443,1,201,-1,800
444,1,7,1,800
445,1,201,-1,800
446,1,5,1,800
447,1,201,-1,800
448,1,5,1,800
449,1,201,-1,800
