groupid,stimu,stimu_time,resp,resp_time,rt
213,7,1601957,202,1602675,718
214,5,1604482,201,1605076,594
215,5,1606773,201,1607428,655
216,7,1609307,201,1610020,713
217,5,1611590,201,1612261,671
218,5,1613865,201,1614437,572
219,5,1616415,202,1616869,454
220,3,1618749,202,1619142,393
221,5,1620982,201,1621430,448
222,3,1623391,201,1623910,519
223,3,1625774,201,1626327,553
224,7,1627999,201,1628695,696
225,5,1630474,202,1631047,573
226,7,1632783,201,1633480,697
227,3,1634991,202,1635784,793
228,3,1637299,201,1637992,693
229,5,1803671,201,1804337,666
230,7,1806079,201,1806657,578
231,5,1808429,201,1809010,581
232,3,1810946,202,1811538,592
233,3,1864747,201,1865418,671
234,7,1867089,201,1867754,665
235,3,1869297,202,1869883,586
236,7,1871506,201,1872059,553
237,5,1873797,202,1874395,598
238,3,1876231,201,1876876,645
239,5,1878756,202,1879388,632
240,3,1881264,202,1881804,540
241,5,1883514,201,1884157,643
242,3,1885939,201,1886717,778
243,5,1888273,201,1888973,700
244,3,1890773,202,1891406,633
245,5,1893090,201,1893630,540
246,3,1895331,202,1896063,732
247,3,1897848,201,1898447,599
248,5,1900106,0,0,0
249,7,1910182,202,1910929,747
250,7,1912448,201,1913121,673
251,5,1914790,201,1915425,635
252,7,1917257,201,1917938,681
253,3,1919624,201,1920210,586
254,3,1922007,202,1922546,539
255,5,1924540,201,1925123,583
256,5,1926966,201,1927587,621
257,5,1929449,201,1930020,571
258,7,1931799,201,1932372,573
259,7,1934016,201,1934660,644
260,5,1936399,202,1937013,614
261,7,1938841,201,1939349,508
262,7,1941308,201,1941909,601
263,3,1943541,201,1944182,641
264,7,1945908,202,1946470,562
265,5,1950500,201,1951079,579
266,5,1952850,202,1953591,741
267,3,1955391,201,1956007,616
268,7,1957616,201,1958152,536
269,3,1960033,202,1960568,535
270,3,2138571,201,2139186,615
271,7,2140980,201,2141571,591
272,3,2143505,202,2144067,562
273,7,2146080,201,2146532,452
274,5,2148330,201,2148900,570
275,5,2150797,201,2151156,359
276,3,2153005,201,2153669,664
277,5,2155230,201,2155845,615
278,7,2157822,202,2158629,807
