groupid,stimu,stimu_time,resp,resp_time,rt
227,5,996333,201,996839,506
228,7,998716,201,999192,476
229,3,1001050,201,1001464,414
230,7,1003375,202,1003752,377
231,7,1005917,201,1006313,396
232,7,1008442,201,1008953,511
233,3,1010875,202,1011561,686
234,3,1013350,202,1014026,676
235,3,1015925,202,1016426,501
236,7,1018250,201,1018827,577
237,7,1020850,201,1021339,489
238,7,1023309,201,1023835,526
239,5,1025809,202,1026492,683
240,5,1028167,202,1028652,485
241,3,1030517,202,1031020,503
242,5,1033051,202,1033581,530
243,3,1035609,202,1036141,532
244,3,1038017,202,1038541,524
245,5,1040317,202,1040718,401
246,3,1042826,202,1043230,404
247,7,1045368,202,1045839,471
248,5,1047743,201,1048127,384
249,3,1050109,201,1050543,434
250,3,1052443,202,1052976,533
251,5,1054709,202,1055232,523
252,7,1057226,201,1057952,726
253,7,1059485,201,1059937,452
254,5,1061976,201,1062497,521
255,7,1064243,202,1064833,590
256,5,1066460,201,1066834,374
257,5,1069043,201,1069554,511
258,3,1071460,202,1072178,718
259,7,1073785,202,1074419,634
260,3,1076093,201,1076611,518
261,5,1078435,202,1078963,528
262,5,1080735,202,1081284,549
263,7,1083085,201,1083556,471
264,3,1085427,202,1085732,305
265,3,1087710,201,1088149,439
266,5,1090177,202,1090661,484
267,3,1092477,202,1092853,376
268,7,1094769,202,1095206,437
269,5,1097352,202,1097766,414
270,7,1099777,202,1100231,454
271,3,1172663,201,1173217,554
272,5,1175221,201,1175794,573
273,5,1177521,201,1178034,513
274,7,1180080,201,1180642,562
275,7,1182413,201,1182931,518
276,7,1185013,201,1185491,478
277,3,1187605,202,1188083,478
278,3,1189896,202,1190420,524
279,7,1192497,201,1193076,579
280,5,1195080,202,1195797,717
281,7,1197588,201,1198213,625
282,3,1199930,202,1200661,731
283,5,1202455,202,1203110,655
284,5,1205030,202,1205654,624
285,3,1207555,202,1208086,531
286,3,1209764,201,1210407,643
287,7,1212089,201,1212535,446
288,7,1214655,201,1215175,520
289,3,1217172,201,1217656,484
290,3,1219664,201,1220120,456
291,5,1222022,201,1222617,595
292,3,1224447,202,1224969,522
293,5,1226697,202,1227161,464
294,7,1229256,202,1229626,370
295,7,1231506,202,1231898,392
296,5,1234081,201,1234490,409
297,7,1236514,202,1236907,393
298,3,1238906,202,1239579,673
299,7,1241348,201,1242091,743
300,5,1243806,201,1244220,414
301,5,1246115,201,1246556,441
302,7,1248523,201,1248924,401
303,3,1251073,201,1251517,444
304,3,1253315,201,1253885,570
305,3,1255623,202,1256158,535
306,3,1257998,202,1258430,432
307,5,1260340,201,1260814,474
308,5,1262665,202,1263151,486
309,7,1265174,202,1265727,553
310,5,1267624,202,1268127,503
311,7,1269999,202,1270464,465
312,5,1272599,201,1272976,377
